"TI";"AU";"AB";"TC";"UT";"PY";"topic";"p";"n"
"Ecosystem carbon stocks of mangrove forests along the Pacific and
   Caribbean coasts of Honduras";"Bhomia, RK
   Kauffman, JB
   McFadden, TN";"Among the many ecosystem services provided by mangrove ecosystems, their role in carbon (C) sequestration and storage is quite high compared to other tropical forests. Mangrove forests occupy less than 1 % of tropical forested areas but account for approximately 3 % of global carbon sequestration by tropical forests. Yet there remain many areas where little data on the size and variation of mangrove C stocks exist. To address this gap and examine the range of C stocks in mangroves at landscape scales, we quantified C stocks of Honduran mangroves along the Pacific and Caribbean coasts and the Bay Islands. We also examined differences in ecosystem C stocks due to size and structure of mangrove vegetation found in Honduras. Ecosystem C stocks ranged from 570 Mg C ha(-1) in the Pacific coast to similar to 1000 Mg C ha(-1) in Caribbean coast and the Bay Islands. Ecosystem C stocks on the basis of mangrove structure were 1200, 800 and 900 Mg C ha(-1), in low, medium and tall mangroves, respectively. We did not find significant differences in ecosystem C stocks on the basis of location (Pacific coast, Caribbean coast and Bay Islands) or mangrove type (low, medium and tall). Mangrove soils represented the single largest pool of total C in these ecosystems, with 87, 81 and 94 % at the Pacific coast, Caribbean coast and the Bay Islands, respectively. While there were no significant differences in total ecosystem stocks among mangrove types, there were differences in where carbon is stored. Mangrove soils among low, medium and tall mangroves contained 99, 93 and 80 % of the total ecosystem C stocks. In addition, we found a small yet significant negative correlation between vegetation C pools and pore water salinity and pH at the sampled sites. Conversion of mangroves into other land use types such as aquaculture or agriculture could result in loses of these soil C reserves due to mineralization and oxidation. Coupled with their other ecosystem services, an understanding of the size of mangrove ecosystem C stocks underscores their values in the formulation of conservation and climate change mitigation strategies in Central America.";"1";"WOS:000374592800007";2016;"servic, restor, mangrov, coastal, habitat";0.744710502284035;133
"Carbon sequestration, soil conservation, and the kyoto protocol: Summary
   of implications";"Dumanski, J";"This paper discusses relationships between soil conservation, carbon sequestration, and the Kyoto Protocol. The Kyoto Protocol is the first attempt to use the flexibility of the global market place to stabilize and reduce GHG emissions, mitigate climate change, and promote sustainable development. The protocol emerged first as a framework agreement, but through international negotiations it is progressing into sets of legal articles. These impose obligations on all signatories, but they also identify opportunities for improved environmental land management at local, national and international levels. This is particularly true for soil conservation, where the sequestration of carbon above and below ground increases soil organic matter, enhances soil fertility, and improves production, while concomitantly reducing atmospheric CO2. It is a classic 'win-win' situation. Both the evolving opportunities and the obligations under the Kyoto Protocol are discussed in the paper.";"21";"WOS:000223361500002";2004;"polici, market, protocol, kyoto, intern";0.742740150481351;163
"Quantity and spectroscopic properties of soil dissolved organic matter
   (DOM) as a function of soil sample treatments: Air-drying and
   pre-incubation";"Akagi, J
   Zsolnay, A
   Bastida, F";"The dissolved organic matter (DOM) in soils is essentially defined by the way in which it is obtained. Therefore, we need to understand as to how pre-treatment of a soil will affect the characteristics of DOM, since this fraction may be strongly influenced by a soil's water content. The effect of two different pre-treatments on DOM from the A-horizons of a large variety of ecosystems and regions were compared. In both cases the soils were allowed to air-dry. In one case the air-dried soil was directly extracted (AD), while in the other case it was pre-incubated for I week at 50% of its water holding capacity (INCU). AD is simpler, but INCU brings the soil, and especially its microbial population, back to a standardised state, which is more representative of the Usual state in the field. Both methods are used whenever an adjustment of the soil water content is essential to compare different regions or to eliminate short term weather effects. A significant regression indicated that the dissolved organic carbon (DOC) extracted from INCU samples was only 20% of AD DOC. Both the absorptivity (UV absorption divided by DOC) of 86% of the samples, and a fluorescence emission spectrum based Humification Index in all cases increased as a result of pre-incubation. This would indicate that labile compounds released during drying were metabolised during the incubation. However, the magnitude of this increase varied, and no correlation with soil organic and microbial carbon, pH, or texture could be detected. The results show that DOM extracted from AD and INCU soils is not comparable and that the differences are mainly due to the impact of air-drying on the microbial activity. (C) 2007 Elsevier Ltd. All rights reserved.";"22";"WOS:000250778800005";2007;"communiti, microbi, dri, abund, group";0.738690437087953;89
"Coupled simulation of regional land use change and soil carbon
   sequestration: A case study for the state of Hesse in Germany";"Schaldach, R
   Alcamo, J";"The paper introduces the HILLS (Hesse Integrated Land Use Simulator) model system that implements an integrated approach to simulate the effects of land use change on biogeochemical processes on the regional scale. The model system is realized within a GIS-based modular software framework and includes a spatial two-scale hierarchy with the macro-level representing administrative units and the micro-level being defined by a I X I kin grid. First application of HILLS is the assessment of soil carbon sequestration due to cropland abandonment in the federal state of Hesse, Germany. For this study the land use model LUCHesse has been newly developed and coupled to a modified version of the Century model (GIS-Century) in the HILLS context. LUCHesse regionalizes macro-level area trends of land use types to the grid level in annual time steps. The generated sequence of land use maps serves as input to GIS-Century for calculating soil carbon sequestration. The paper focuses on the conceptual and software aspects of HILLS as well as on the implementation for the Hessian study. Furthermore results of model testing and application of the integrated model to the problem in question are presented. (c) 2005 Elsevier Ltd. All rights reserved.";"20";"WOS:000239466700004";2006;"optim, terrestri, radiat, forc, centuri";0.73782450012884;114
"Influence of geoengineered climate on the terrestrial biosphere";"Naik, V
   Wuebbles, DJ
   DeLucia, EH
   Foley, JA";"Various geoengineering schemes have been proposed to counteract anthropogenically induced climate change. In a previous study, it was suggested that a 1.8% reduction in solar radiation incident on the Earth's surface could noticeably reduce regional and seasonal climate change from increased atmospheric carbon dioxide (CO2). However, the response of the terrestrial biosphere to reduced solar radiation in a CO2-rich climate was not investigated. In this study, we hypothesized that a reduction in incident solar radiation in a Doubled CO2 atmosphere will diminish the net primary productivity (NPP) of terrestrial ecosystems, potentially accelerating the accumulation of CO2 in the atmosphere. We used a dynamic global ecosystem model, the Integrated Biosphere Simulator (IBIS), to investigate this hypothesis in an unperturbed climatology. While this simplified modeling framework effectively separated the influence of CO2 and sunlight on the terrestrial biosphere, it did not consider the complex feed-backs within the Earth's climate system. Our analysis indicated that compared to a Doubled CO2 scenario, reduction in incident solar radiation by 1.8% in a double CO2 world will have negligible impact on the NPP of terrestrial ecosystems. There were, however, spatial variations in the response of NPP-engineered solar radiation. While productivity decreased by less than 2% in the tropical and boreal forests as hypothesized, it increased by a similar percentage in the temperate deciduous forests and grasslands. This increase in productivity was attributed to a similar to1% reduction in evapotranspiration in the Geoengineered scenario relative to the Doubled CO2 scenario. Our initial hypothesis was rejected because of unanticipated effects of engineered solar radiation on the hydrologic cycle. However, any geoengineering approaches that reduce incident solar radiation need to be thoroughly analyzed in view of the implications on ecosystem productivity and the hydrologic cycle.";"16";"WOS:000186755100007";2003;"optim, terrestri, radiat, forc, centuri";0.735695220204803;114
"Agricultural management affects the response of soil bacterial community
   structure and respiration to water-stress";"Kaisermann, A
   Roguet, A
   Nunan, N
   Maron, PA
   Ostle, N
   Lata, JC";"Soil microorganisms are responsible for organic matter decomposition processes that regulate soil carbon storage and mineralisation to CO2. Climate change is predicted to increase the frequency of drought events, with uncertain consequences for soil microbial communities. In this study we tested the hypothesis that agricultural management used to enhance soil carbon stocks would increase the stability of microbial community structure and activity in response to water-stress. Soil was sampled from a long-term field trial with three soil carbon management systems and was used in a laboratory study of the effect of a dry wet cycle on organic C mineralisation and microbial community structure. After a drying-rewetting event, soil microcosms were maintained wet and microbial community structure and abundance as well as microbial respiration were measured for four weeks. The results showed that the NO-TILL management system, with the highest soil organic matter content and respiration rate, had a distinct bacterial community structure relative to the conventional and the TILL without fertiliser systems. In all management systems, the rewetting event clearly modified microbial community structure and activity. Both returned to their pre-drought state after 28 days. However, the magnitude of variation of C mineralisation was lower (i.e. the resistance to stress was higher) in the NO-TILL system. The genetic structure of the NO-TILL bacterial communities was most modified by water-stress and exhibited a slower recovery rate. This suggests that land use management can increase microbial functional resistance to drought stress via the establishment of bacterial communities with particular metabolic capacities. Nevertheless, the resilience rates of C mineralisation were similar among management regimes, suggesting that similar mechanisms occur, maybe due to a common soil microbial community legacy. (C) 2013 Elsevier Ltd. All rights reserved.";"10";"WOS:000325665400010";2013;"communiti, microbi, dri, abund, group";0.735600650676724;89
"Sequestration of organic carbon influenced by the application of straw
   residue and farmyard manure in two different soils";"Mahmoodabadi, M
   Heydarpour, E";"Soil organic carbon is one of the most important soil components, which acts as a sink for atmospheric CO2. This study focuses on the effect of different methods of organic matter application on the soil organic carbon sequestration in a 4-month experiment under controlled greenhouse conditions. Three rates of straw residue and farmyard manure were added to uncultivated and cropland soils. Two treatments of straw residue and farmyard manure incorporation were used into: a soil surface layer and 0-20 cm soil depth. The result showed that the application of organic matter, especially the farmyard manure incorporation led to a significant increase in the final soil organic carbon content. Higher amounts of soil organic carbon were stored in the cropland soil than in the uncultivated soil. On average, the soil surface layer treatment caused a higher sequestration of soil organic carbon compared to the whole soil depth treatment. If higher rates of organic matter were added to the soils, lower carbon sequestration was observed and vice versa. The result indicated that the carbon sequestration ranged farmyard manure > straw residue and cropland soil > uncultivated soil. The findings of this research revealed the necessity of paying more attention to the role of organic residue management in carbon sequestration and prevention of increasing global warming.";"6";"WOS:000335515300005";2014;"treatment, residu, miner, rice, straw";0.733747249158217;89
"Estimating carbon supply curves from afforestation of agricultural land
   in the Northeastern US";"Winsten, J
   Walker, S
   Brown, S
   Grimland, S";"The Regional Greenhouse Gas Initiative for the northeastern states of the U.S. allows for terrestrial carbon (C) sequestration offsets generated by afforestation activities only. This paper estimates the maximum potential quantity and associated costs of increasing the storage of carbon by afforestation of existing agricultural land in the 11 states of the Northeast United States. The focus of the work was to describe location, the quantity, and at what cost it would be economically attractive to shift agricultural production to afforestation to increase carbon storage in the region. Widely available data sets were used to (1) identify spatially-explicit areas for lower costs carbon offsets and (2) estimate carbon supply curves related to afforestation of agricultural land over three time periods (10, 20, and 40 years). Carbon accumulation and total carbon offset project costs were estimated at a county scale and combined to identify expected costs per ton of carbon dioxide equivalents (CO(2)e). Large variation in estimated costs per ton of CO(2)e are driven by varying carbon accumulation potentials and opportunity costs of taking land out of agricultural production, as well as the duration of the project activity. Results show that the lowest cost carbon offset projects will be in certain counties of Maine, Vermont, and New York. Pasture land, with lower opportunity costs, generally presents the opportunity for lower cost carbon offset projects relative to cropland. This analysis estimates that afforestation of pasture land in the northeast will not become economically attractive until the price rises above $10 per metric tonne (MT) CO(2)e and that up to 583 million MT could be economically sequestered if the price were to rise to $50 per MT CO(2)e, based on a 40-year project life. With regard to cropland in the northeast, afforestation does not become economically advantageous for land owners until the price rises above $40 per MT CO(2)e. It is estimated that up to 487,000 MT could be sequestered from cropland if the price were to rise to $50 per MT CO(2)e, based on a 40-year project life.";"3";"WOS:000297367200006";2011;"scenario, project, cost, price, forestri";0.731945922173033;158
"Use of multi-temporal Landsat images for analyzing forest transition in
   relation to socioeconomic factors and the environment";"Shi, ZH
   Li, L
   Yin, W
   Ai, L
   Fang, NF
   Song, YT";"Recently there have been reports of forest regrowth occurring in different regions across the world. There is also a growing recognition of the potential beneficial impact that secondary forests may have on the global environment: providing crucial ecosystem services such as soil conservation, stabilization of hydrological cycles, carbon sequestration, and support for forest dependent communities. Consequently, there is a growing awareness of the need to recognize that landscapes are complex shifting mosaics wherein forest clearing and reforestation take place. In this study, the rates of reforestation, deforestation, forest regrowth and degradation were measured using multi-temporal Landsat images of Danjiangkou, China. Landsat data from 1990, 1999 and 2007 were (1) classified as dense forest, open forest and non-forest areas and (2) compared between years to identify forest cutting, regeneration and degradation. The results showed that there was a net gain of 29,315 ha of forest area (including dense and open forest) from 1990 to 2007, showing a clear trend of reforestation in the study area. Forest modification (degradation and regrowth) and change categories (deforestation and reforestation) occurred simultaneously during the observation time period. Socioeconomic data from public statistics and environmental attributes allowed the assessment of the socioeconomic factors and the environmental conditions that caused these changes using non-metric multidimensional scaling (NMDS). The research showed that the socioeconomic factors due to different policies were major driving forces of forest transition, whereas environmental attributes of the underlying landscape constrained forest cover changes. These findings have led to a better understanding of forest transition at a local scale in our study region. Comprehensive knowledge of these relationships may be useful to reconstruct past forest transitions and predict future changes, and may help to enhance sustainable management practices aimed at preserving essential ecological functions. (C) 2010 Elsevier B.V. All rights reserved.";"5";"WOS:000290011800016";2011;"forest, reforest, china, tropic, deforest";0.728822989945815;225
"What carbon farming activities are farmers likely to adopt? A best-worst
   scaling survey";"Dumbrell, NP
   Kragt, ME
   Gibson, FL";"Transferring carbon from the atmosphere into terrestrial sinks through carbon sequestration practices (so-called 'carbon farming') has been proposed as an important component in Australia's efforts to mitigate greenhouse gas emissions. We use a Best worst scaling survey to determine which carbon sequestration practices farmers would be most and least likely to adopt, and what factors were most important in any potential adoption decision. The survey was distributed to dryland cropping and mixed crop-livestock farmers in Western Australia. Farmers ranked improved soil quality and reduced soil erosion as the most important potential co-benefits of carbon farming. Factors discouraging farmers from participating in carbon farming contracts were policy and carbon price uncertainty and the uncertain impact of carbon farming practices on productivity and profitability. Farmers had strong preferences for stubble retention and no-till cropping practices as carbon farming strategies. The practices that farmers preferred least were applying biochar and planting trees. Farm and farmer characteristics, including (lack of) awareness of carbon farming policies and opinions about climate change, influence the potential willingness to adopt different carbon farming practices. Given recent policy uncertainty and farmer preferences revealed in this study, it is important to communicate potential co-benefits (rather than opportunities to earn compensation or carbon credits) to increase farmers' engagement in carbon sequestration activities. (C) 2016 Elsevier Ltd. All rights reserved.";"1";"WOS:000375517900003";2016;"farm, biodivers, food, agroforestri, program";0.728044423630322;94
"No-till reduces global warming potential in a subtropical Ferralsol";"Piva, JT
   Dieckow, J
   Bayer, C
   Zanatta, JA
   de Moraes, A
   Pauletti, V
   Tomazi, M
   Pergher, M";"Aims For tropical and subtropical soils, information is scarce regarding the global warming potential (GWP) of no-till (NT) agriculture systems. Soil organic carbon (OC) sequestration is promoted by NT agriculture, but this may be offset by increased nitrous oxide (N2O) emissions. We assessed the GWP of a NT as compared to conventional tillage (CT) in a subtropical Brazilian Ferralsol.
   Methods From September 2008 to September 2009 we used static chambers and chromatographic analyses to assess N2O and methane (CH4) soil fluxes in an area previously used for 3-4 years as a field-experiment. The winter cover crop was ryegrass (Lolium multiflorum Lam.) while in summer it was silage maize (Zea mays L.).
   Results The accumulated N2O emission for NT was about half that of CT (1.26 vs 2.42 kg N ha(-1) year(-1), P = 0.06). Emission peaks for N2O occurred for a month after CT, presumably induced by mineralization of residual nitrogen. In both systems, the highest N2O flux occurred after sidedressing maize with inorganic nitrogen, although the flux was lower in NT than CT (132 vs 367 mu g N m(-2) h(-1), P = 0.05), possibly because some of the sidedressed nitrogen was immobilized by ryegrass residues on the surface of the NT soil. Neither water-filled pore space (WFPS) nor inorganic nitrogen (NH (4) (+) and NO (3) (-) ) correlated with N2O fluxes, although at some specific periods relationships were observed with inorganic nitrogen. Soils subjected to CT or NT both acted as CH4 sinks during most of the experiment, although a CH4 peak in May (autumn) led to overall CH4 emissions of 1.15 kg CH4-C ha(-1) year(-1) for CT and 1.08 kg CH4-C ha(-1) year(-1) for NT (P = 0.90). The OC stock in the 0-20 cm soil layer was slightly higher for NT than for CT (67.20 vs 66.49 Mg ha(-1), P = 0.36). In the 0-100 cm layer, the OC stock was significantly higher for NT as compared to CT (234.61 vs 231.95 Mg ha(-1), P = 0.01), indicating that NT resulted in the sequestration of OC at a rate of 0.76 Mg ha(-1) year(-1). The CO2 equivalent cost of agronomic practices was similar for CT (1.72 Mg CO(2)eq ha(-1) year(-1)) and NT (1.62 Mg CO(2)eq ha(-1) year(-1)). However, NT reduced the GWP relative to CT (-0.55 vs 2.90 Mg CO(2)eq ha(-1) year(-1)), with the difference of -3.45 Mg CO(2)eq ha(-1) year(-1) (negative value implies mitigation) being driven mainly by OC sequestration. The greenhouse gas intensity (GHGI, equivalent to GWP/silage yield) was lower for NT than CT (-31.7 vs 171.1 kg CO(2)eq Mg-1 for silage maize).
   Conclusion As compared to CT, greenhouse gas emissions from a subtropical soil can be mitigated by NT by lowering N2O emissions and, principally, sequestration of CO2-C.";"18";"WOS:000311299800029";2012;"ha1, n2o, yr1, pastur, flux";0.726932512809593;104
"Novel estimation of the humification degree of soil organic matter by
   laser-induced breakdown spectroscopy";"Ferreira, EC
   Ferreira, EJ
   Villas-Boas, PR
   Senesi, GS
   Carvalho, CM
   Romano, RA
   Martin-Neto, L
   Milori, DMBP";"Soil organic matter (SOM) constitutes an important reservoir of terrestrial carbon and can be considered an alternative for atmospheric carbon storage, contributing to global warming mitigation. Soil management can favor atmospheric carbon incorporation into SUM or its release from SOM to atmosphere. Thus, the evaluation of the humification degree (HD), which is an indication of the recalcitrance of SOM, can provide an estimation of the capacity of carbon sequestration by soils under various managements. The HD of SOM can be estimated by using various analytical techniques including fluorescence spectroscopy. In the present work, the potential of laser-induced breakdown spectroscopy (LIBS) to estimate the HD of SUM was evaluated for the first time. Intensities of emission lines of Al, Mg and Ca from LIBS spectra showing correlation with fluorescence emissions determined by laser-induced fluorescence spectroscopy (LIFS) reference technique were used to obtain a multivaried calibration model based on the k-nearest neighbor (k-NN) method. The values predicted by the proposed model (A-LIBS) showed strong correlation with LIFS results with a Pearson's coefficient of 0.87. The HD of SUM obtained after normalizing A-LIBS by total carbon in the sample showed a strong correlation to that determined by LIFS (0.94), thus suggesting the great potential of LIBS for this novel application. (C) 2014 Elsevier B.V. All rights reserved.";"10";"WOS:000341549400011";2014;"degre, stabil, char, charcoal, decomposit";0.726213809422749;92
"Sedimentation and belowground carbon accumulation rates in mangrove
   forests that differ in diversity and land use: a tale of two mangroves";"MacKenzie, RA
   Foulk, PB
   Klump, JV
   Weckerly, K
   Purbospito, J
   Murdiyarso, D
   Donato, DC
   Nam, VN";"Increased sea level is the climate change effect expected to have the greatest impact on mangrove forest survival. Mangroves have survived extreme fluctuations in sea level in the past through sedimentation and belowground carbon (C) accumulation, yet it is unclear what factors may influence these two parameters. We measured sedimentation, vertical accretion, and belowground C accumulation rates in mangrove forests from the Republic of Palau and Vietnam to examine how diversity (high-Vietnam vs. low-Palau), land use, and location (fringe vs. interior) might influence these parameters. Land use in this study was identified as disturbance and restoration for all mangrove forests sampled in Palau and Vietnam, respectively. Vertical accretion rates were significantly greater in Vietnam (2.44 +/- A 1.38 cm/year) than Palau mangrove forests (0.47 +/- A 0.08 cm/year; p < 0.001, F-1,F-17 = 24.96). Vertical accretion rates were positively correlated to diversity (R = 0.43, p < 0.05). However, stronger correlations of accretion to bulk density (R = 0.64, p < 0.01) and significantly higher bulk densities in Vietnamese (0.67 +/- A 0.04 g/cm(3)) than Palau mangroves (0.30 +/- A 0.03 g/cm(3); p < 0.001, F-1,F-17 = 54.4) suggests that suspended sediments played a greater role in mangrove forest floor maintenance relative to sea level rise. Average vertical accretion rates were similar between naturally colonized (1.01 +/- A 0.10 cm/year) and outplanted sites (1.06 +/- A 0.05 cm/year) and between fringe (1.06 +/- A 0.12 cm/year) and interior mangrove (0.99 +/- A 0.09 cm/year) in Vietnam. In Palau, vertical accretion rates did not differ between disturbed (0.42 +/- A 0.11 cm/year) and undisturbed (0.51 +/- A 0.13 cm/year) mangrove forests and were higher in fringe (0.61 +/- A 0.15 cm/year) than interior sites (0.33 +/- A 0.09 cm/year; p = 0.1, F-1,F-7 = 3.45). Belowground C accumulation rates did not differ between any factors examined. C accumulation rates (69-602 gC/m(2)/year) were similar to those reported elsewhere in the literature and suggest that intact coastal ecosystems play an important role in the global C cycle, sequestering C at rates that are 10-20x greater than upland forests. Assuming vertical accretion rates measured using Pb-210 are an effective proxy for surface elevation, the Vietnamese and Palauan mangroves appear to be keeping up with current rates of sea level rise.";"2";"WOS:000374592800011";2016;"servic, restor, mangrov, coastal, habitat";0.724945503929856;133
"Reforming the EU approach to LULUCF and the climate policy framework";"Ellison, D
   Lundblad, M
   Petersson, H";"We focus on recent progress in reforming the role of forests and other land use in the EU climate policy framework. EU inclusion of LULUCF (Land Use, Land-Use Change and Forestry) in the climate policy framework still lags international developments, remaining at odds even with the United Nations Framework Convention on Climate Change's (UNFCCC) Kyoto framework. Though the EU has made some important changes that eclipse even the UNFCCC framework-in particular regarding the inclusion of cropland and grazing land management in mandatory EU-level carbon accounting practices-in other respects the EU has far to go. As part of a strategy for fulfilling emission reduction commitments within the EU burden-sharing agreement, Member states are not permitted to trade either in domestically nor foreign produced forest-based carbon credits. On the other hand, both the EU and the UNFCCC/Kyoto LULUCF frameworks remain distant from an idealized model that could facilitate increased climate change mitigation and a more efficient and balanced use of forest-based resources. Limiting the incorporation of forests in the climate policy framework has significant consequences for the cost and rapidity of emission reductions. Forest potential thus remains under-mobilized for climate change mitigation. In this context, we draw particular attention to the fact that forest-based carbon sequestration's potential contribution to negative emissions represents an important missed opportunity. In the context of ongoing discussions over the EU and UNFCCC's Post-Kyoto frameworks, we propose an all-encompassing LULUCF carbon accounting model incorporating all previously omitted carbon pools and activities, thus weighing LULUCF removals and emissions on a par with emissions from other sectors (industry, the energy sector, end-users). The successful integration of LULUCF into the EU climate policy and carbon-trading frameworks could dovetail neatly with emerging international climate change mitigation efforts. (C) 2014 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org(licenses/by-nc-nd/3.0/).";"4";"WOS:000338002500001";2014;"polici, market, protocol, kyoto, intern";0.723611646733272;163
"Mitigating climate change through afforestation: New cost estimates for
   the United States";"Nielsen, ASE
   Plantinga, AJ
   Alig, RJ";"We provide new cost estimates for carbon sequestration through afforestation in the U.S. We extend existing studies of carbon sequestration costs in several important ways, while ensuring the transparency of our approach. Our costs estimates have five distinguishing features: (1) we estimate costs for each county in the contiguous U.S., (2) we include afforestation of rangeland, in addition to cropland and pasture, (3) our opportunity cost estimates account for capitalized returns to future development (including associated option values) in addition to returns to agricultural production, (4) we develop a new set of forest establishment costs for each county, and (5) we incorporate data on Holdridge life zones to limit afforestation in locations where temperature and moisture availability prohibit forest growth. We find that at a carbon price of $50/ton, approximately 200 million tons of carbon would be sequestered annually through afforestation. At a price of $100/ton, an additional 100 million tons of carbon would be sequestered each year. Our estimates closely match those in earlier econometric studies for relatively low carbon prices, but diverge at higher carbon prices. Our results indicate a smaller, but still important, role for forest-based carbon sequestration in offsetting U.S. greenhouse gas emissions. (C) 2013 Elsevier B.V. All rights reserved.";"2";"WOS:000331342000006";2014;"scenario, project, cost, price, forestri";0.721743217377566;158
"Climate warming feedback from mountain birch forest expansion: reduced
   albedo dominates carbon uptake";"de Wit, HA
   Bryn, A
   Hofgaard, A
   Karstensen, J
   Kvalevag, MM
   Peters, GP";"Expanding high-elevation and high-latitude forest has contrasting climate feedbacks through carbon sequestration (cooling) and reduced surface reflectance (warming), which are yet poorly quantified. Here, we present an empirically based projection of mountain birch forest expansion in south-central Norway under climate change and absence of land use. Climate effects of carbon sequestration and albedo change are compared using four emission metrics. Forest expansion was modeled for a projected 2.6 degrees C increase in summer temperature in 2100, with associated reduced snow cover. We find that the current (year 2000) forest line of the region is circa 100 m lower than its climatic potential due to land-use history. In the future scenarios, forest cover increased from 12% to 27% between 2000 and 2100, resulting in a 59% increase in biomass carbon storage and an albedo change from 0.46 to 0.30. Forest expansion in 2100 was behind its climatic potential, forest migration rates being the primary limiting factor. In 2100, the warming caused by lower albedo from expanding forest was 10 to 17 times stronger than the cooling effect from carbon sequestration for all emission metrics considered. Reduced snow cover further exacerbated the net warming feedback. The warming effect is considerably stronger than previously reported for boreal forest cover, because of the typically low biomass density in mountain forests and the large changes in albedo of snow-covered tundra areas. The positive climate feedback of high-latitude and high-elevation expanding forests with seasonal snow cover exceeds those of afforestation at lower elevation, and calls for further attention of both modelers and empiricists. The inclusion and upscaling of these climate feedbacks from mountain forests into global models is warranted to assess the potential global impacts.";"11";"WOS:000337680700028";2014;"forest, reforest, china, tropic, deforest";0.718673848892076;225
"Potential litterfall of Scots pine branches in southern Finland";"Lehtonen, A
   Sievanen, R
   Makela, A
   Makipaa, S
   Korhonen, KT
   Hokkanen, T";"Litter input drives dynamic soil models that are used to understand the flows and stocks of soil carbon. In estimation of above-ground litterfall, much of the uncertainty lies in the turnover rate of branches. The objective of this study was to develop a model for estimating the branch litterfall of Scots pine stands.
   Here the potential litterfall of branches was modelled as a function of tree diameter. First, the vertical biomass distribution of branches was predicted on the basis of branch biomass data collected from trees sampled in southern Finland. Second, to predict annual branch mortality and potential litterfall, this information was combined with data on measured changes in height of the crown base.
   Depending on stem dbh (diameter at breast height), the proportion of annual litterfall of branches from the total biomass of branches varied from 6% to 0.5%, being highest in small trees. According to the results of this study, the litterfall of branches depends on tree size and stocking density. When the estimates were tested against data on collection of branch litter, it was found that the method underestimates litterfall in very old stands but agrees with the measurements in other stands.
   Application of this model to rates of branch litter production improves the accuracy of the estimated litter input to the dynamic soil model, therefore also improving the precision of soil carbon estimates. (C) 2004 Elsevier B.V. All rights reserved.";"26";"WOS:000224635700005";2004;"tree, speci, stand, root, litter";0.715322649552207;163
"The Political Ecology of Land Degradation";"Andersson, E
   Brogaard, S
   Olsson, L";"Land degradation, as a threat to smallholders in the tropics, attracts less attention than other global challenges. In addition, gaps between scientific understandings of land degradation and international policy regimes are problematic. We identify the three most significant debates including their different policy implications: desertification in the Sahel, nutrient depletion in Africa, and rural reforms in China. Using a political ecology frame across disciplines, scales of inquiry, and regional experiences, we nuance the often polarized scientific debate while seeking to bridge the gap between science and policy. Three main findings emerge: State-led rural reforms in China represent an important approach to land degradation; a renewed focus on agriculture and sustainability in development discourses opens new ways for tackling nutrient depletion with combined sociotechnological reforms; and a policy void in Africa paves the way for market mechanisms, such as payment for environmental services, that are insufficiently understood and put fairness at risk.";"15";"WOS:000299610900012";2011;"polici, market, protocol, kyoto, intern";0.714339613235602;163
"Can the EU emission trading scheme support CDM forestry?";"Schlamadinger, B
   Bosquet, B
   Streck, C
   Noble, I
   Dutschke, M
   Bird, N";"The European Commission is mandated to consider the inclusion of credits from land-use projects under the clean development mechanism (CDM) and joint implementation (JI), beginning with the second period of the European Union's emission trading scheme (ETS) in its report due in July 2006. Temporary credits from afforestation and reforestation under the CDM are seen by many as posing a technical problem for their use under the ETS. This article summarizes three feasible, efficient and environmentally sound alternatives for achieving the integration of such temporary credits in the European emissions trading market starting in 2008. The first proposal integrates tCERs and ICERs (temporary credits) into the EU ETS by allowing for their direct use for compliance purposes. The second proposal builds on the idea of swapping temporary credits for EU allowances (EUAs) by Member States. The third proposal would not require a political decision at the EU level. Instead supportive Member States or private carbon fund operators would agree to swap temporary credits for the CERs or ERUs they hold in their accounts. All three solutions would be linked to a risk-mitigation strategy based on levying a fee or fixing an exchange rate, which would allow governments to hedge the risk of losing temporary credits.";"5";"WOS:000232893300005";2005;"polici, market, protocol, kyoto, intern";0.712667049742943;163
